county_name,state_name,Value
LUCE,MICHIGAN,29.0
MOORE,TENNESSEE,30.0
JACKSON,TENNESSEE,30.0
SAINT CLAIR,ALABAMA,30.0
LEWIS,TENNESSEE,31.0
ROANE,TENNESSEE,32.0
CLEBURNE,ALABAMA,33.0
HOUSTON,TENNESSEE,33.0
CLAY,TENNESSEE,34.0
CHAMBERS,ALABAMA,35.0
HENRY,VIRGINIA,41.0
FRANKLIN,KENTUCKY,44.0
PENDLETON,KENTUCKY,47.8
WYTHE,VIRGINIA,48.0
SAN BERNARDINO,CALIFORNIA,50.0
SUMMIT,OHIO,51.8
SULLIVAN,TENNESSEE,54.0
ALLEGHANY,VIRGINIA,56.0
ROCKBRIDGE,VIRGINIA,56.0
PUTNAM,TENNESSEE,57.0
BENZIE,MICHIGAN,60.0
BULLOCK,ALABAMA,62.0
MONTGOMERY,VIRGINIA,62.7
HAMILTON,OHIO,62.8
LEE,ALABAMA,65.0
BONNER,IDAHO,66.0
PULASKI,VIRGINIA,67.0
CLARK,WASHINGTON,70.0
ETOWAH,ALABAMA,73.7
JEFFERSON,OHIO,74.9
CHARLEVOIX,MICHIGAN,75.0
CLAIBORNE,TENNESSEE,83.0
SAWYER,WISCONSIN,86.0
BOISE,IDAHO,90.0
CHILTON,ALABAMA,90.8
FRANKLIN,ALABAMA,91.4
DICKSON,TENNESSEE,92.0
MEIGS,OHIO,93.0
ONTONAGON,MICHIGAN,93.5
ALLEGANY,MARYLAND,99.0
GARRETT,MARYLAND,99.0
EMMET,MICHIGAN,100.0
COCKE,TENNESSEE,101.0
SUMTER,ALABAMA,101.9
PEPIN,WISCONSIN,109.0
FOREST,WISCONSIN,112.0
BRACKEN,KENTUCKY,114.0
ADAMS,IDAHO,116.0
MORGAN,OHIO,124.8
KNOX,TENNESSEE,125.0
AMADOR,CALIFORNIA,126.0
BOONE,KENTUCKY,126.0
SCHOOLCRAFT,MICHIGAN,126.8
WAYNE,TENNESSEE,128.0
BATH,KENTUCKY,131.5
PERRY,TENNESSEE,132.0
HAMILTON,TENNESSEE,133.0
IRON,MICHIGAN,133.3
FERRY,WASHINGTON,136.0
ISLAND,WASHINGTON,139.0
MATHEWS,VIRGINIA,142.0
DAVIDSON,TENNESSEE,147.0
MACON,ALABAMA,151.7
STEWART,TENNESSEE,151.8
OWEN,KENTUCKY,152.0
CAMAS,IDAHO,153.5
RUSK,WISCONSIN,154.0
MARENGO,ALABAMA,158.6
DOUGLAS,WISCONSIN,159.0
ASHLAND,WISCONSIN,162.3
HAWKINS,TENNESSEE,164.0
TAYLOR,WISCONSIN,164.2
ONEIDA,WISCONSIN,164.3
VALLEY,IDAHO,167.4
WILCOX,ALABAMA,170.7
BAYFIELD,WISCONSIN,171.3
CHELAN,WASHINGTON,178.8
LEWIS,KENTUCKY,180.0
