year,state_name,county_name,Value
2003,ALABAMA,COLBERT,41.0
2000,ALABAMA,COLBERT,54.0
1999,ALABAMA,COLBERT,46.0
1998,ALABAMA,COLBERT,39.0
1996,ALABAMA,COLBERT,47.0
1994,ALABAMA,COLBERT,49.6
1993,ALABAMA,COLBERT,29.5
1992,ALABAMA,COLBERT,46.3
1991,ALABAMA,COLBERT,26.0
1990,ALABAMA,COLBERT,41.9
2003,ALABAMA,FRANKLIN,40.0
1991,ALABAMA,FRANKLIN,21.4
1990,ALABAMA,FRANKLIN,30.0
2007,ALABAMA,LAUDERDALE,37.0
2006,ALABAMA,LAUDERDALE,71.0
2005,ALABAMA,LAUDERDALE,62.0
2004,ALABAMA,LAUDERDALE,44.0
2003,ALABAMA,LAUDERDALE,39.0
2002,ALABAMA,LAUDERDALE,41.0
2000,ALABAMA,LAUDERDALE,60.0
1999,ALABAMA,LAUDERDALE,63.0
1998,ALABAMA,LAUDERDALE,38.0
1997,ALABAMA,LAUDERDALE,44.0
1996,ALABAMA,LAUDERDALE,43.0
1995,ALABAMA,LAUDERDALE,39.0
1994,ALABAMA,LAUDERDALE,49.5
1993,ALABAMA,LAUDERDALE,32.2
1992,ALABAMA,LAUDERDALE,41.3
1991,ALABAMA,LAUDERDALE,30.0
1990,ALABAMA,LAUDERDALE,42.9
2003,ALABAMA,LAWRENCE,47.0
2002,ALABAMA,LAWRENCE,53.0
2001,ALABAMA,LAWRENCE,52.0
2000,ALABAMA,LAWRENCE,60.0
1999,ALABAMA,LAWRENCE,56.0
1998,ALABAMA,LAWRENCE,48.0
1997,ALABAMA,LAWRENCE,61.0
1996,ALABAMA,LAWRENCE,45.0
1995,ALABAMA,LAWRENCE,37.0
1994,ALABAMA,LAWRENCE,49.5
1993,ALABAMA,LAWRENCE,31.4
1992,ALABAMA,LAWRENCE,47.9
1991,ALABAMA,LAWRENCE,27.0
1990,ALABAMA,LAWRENCE,45.1
2008,ALABAMA,LIMESTONE,83.5
2007,ALABAMA,LIMESTONE,30.0
2006,ALABAMA,LIMESTONE,76.0
2005,ALABAMA,LIMESTONE,68.0
2004,ALABAMA,LIMESTONE,55.0
2003,ALABAMA,LIMESTONE,52.0
2002,ALABAMA,LIMESTONE,44.0
2001,ALABAMA,LIMESTONE,56.0
2000,ALABAMA,LIMESTONE,67.0
